target,GC,Age,Length,height,weight,One day races,GC_specialty,Time trial,Sprint,Climber,PCS Ranking,UCI World Ranking,Specials | All Time Ranking,sumres_1,sumres_2,sumres_3,Stage_Type_RR
1,8.0,26.0,148.5,1.82,72.0,183.0,874.0,43.0,18.0,862.0,438.0,503.0,985.0,130.0,190.0,54.0,1.0
1,5.0,27.0,148.5,1.78,71.0,410.0,41.0,26.0,900.0,17.0,198.0,256.0,985.0,175.0,50.0,67.0,1.0
1,6.0,27.0,148.5,1.75,63.0,57.0,179.0,186.0,50.0,76.0,251.0,273.0,985.0,581.0,280.0,382.0,1.0
1,14.0,22.0,148.5,1.78,65.0,157.0,217.0,8.0,161.0,204.0,952.0,1.157e+03,985.0,102.25,107.7,111.94,1.0
1,18.0,19.0,148.5,1.77,63.0,561.0,1.279e+03,142.0,89.0,1.2e+03,76.0,46.0,1.546e+03,102.25,107.7,111.94,1.0
1,16.0,30.0,148.5,1.75,64.0,1.749e+03,5.8e+03,1.338e+03,356.0,6.616e+03,278.0,229.0,179.0,97.0,12.0,14.0,1.0
1,9.0,33.0,148.5,1.86,73.0,1.073e+03,836.0,91.0,348.0,888.0,246.0,197.0,985.0,266.0,101.0,0.0,1.0
1,7.0,28.0,148.5,1.8,70.0,486.0,61.0,36.0,724.0,72.0,332.0,262.0,985.0,0.0,15.0,20.0,1.0
1,15.0,29.0,148.5,1.7,61.0,79.0,21.0,1.0,103.0,0.0,1.132e+03,1.382e+03,985.0,133.0,354.0,20.0,1.0
1,20.0,26.0,148.5,1.83,70.0,1.192e+03,200.0,60.0,2.544e+03,24.0,484.0,636.0,1.906e+03,74.0,18.0,118.0,1.0
1,4.0,24.0,148.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,89.0,4.0,50.0,1.0
1,12.0,34.0,148.5,1.65,53.0,384.0,643.0,1.536e+03,958.0,471.0,159.0,334.0,1.634e+03,77.0,242.0,236.0,1.0
1,10.0,29.0,148.5,1.79,64.0,1.156e+03,423.0,142.0,774.0,54.0,748.0,1.785e+03,985.0,17.0,36.0,37.0,1.0
1,17.0,22.0,148.5,1.77,61.0,4.39e+03,755.0,264.0,2.548e+03,667.0,141.0,99.0,611.0,102.25,107.7,111.94,1.0
1,13.0,25.0,148.5,1.85,65.0,351.0,384.0,39.0,145.0,353.0,386.0,463.0,985.0,251.0,214.0,325.0,1.0
1,11.0,30.0,148.5,1.89,70.0,146.0,435.0,361.0,105.0,694.0,571.0,853.0,985.0,304.0,212.0,72.0,1.0
1,19.0,22.0,148.5,1.78,73.0,3.0,42.0,0.0,95.0,2.0,2.058e+03,2.714e+03,985.0,41.0,107.7,111.94,1.0
1,21.0,22.0,148.5,1.82,75.0,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,15.0,107.7,111.94,1.0
1,22.0,29.0,148.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,20.0,0.0,5.0,1.0
1,26.0,28.0,148.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,358.0,115.0,49.0,1.0
1,29.0,34.0,148.5,1.75,63.0,341.0,642.0,70.0,380.0,230.0,467.0,561.0,985.0,202.0,90.0,130.0,1.0
1,23.0,25.0,148.5,1.8,75.0,2.7e+03,1.056e+03,1.719e+03,2e+03,374.0,62.0,45.0,470.0,8.0,107.7,111.94,1.0
1,33.0,25.0,148.5,1.8,62.0,455.0,301.0,4.0,255.0,90.0,353.0,436.0,985.0,102.25,107.7,0.0,1.0
1,25.0,24.0,148.5,1.8,68.0,525.0,912.0,57.0,252.0,1.504e+03,105.0,152.0,1.903e+03,88.0,22.0,85.0,1.0
1,31.0,20.0,148.5,1.75,60.0,8.0,33.0,4.0,10.0,21.0,1.248e+03,1.383e+03,985.0,102.25,107.7,111.94,1.0
1,27.0,20.0,148.5,1.84,71.0,485.0,2.11e+03,330.0,124.0,2.376e+03,193.0,348.0,985.0,0.0,107.7,111.94,1.0
1,32.0,26.0,148.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,102.25,107.7,111.94,1.0
0,34.0,33.0,148.5,1.77,65.0,1.787e+03,503.0,19.0,5.96e+03,278.0,780.0,1.499e+03,395.0,136.0,44.0,63.0,1.0
0,24.0,21.0,148.5,1.78,70.0,563.0,374.0,62.0,582.0,148.0,520.0,861.0,985.0,0.0,107.7,111.94,1.0
0,28.0,30.0,148.5,1.77,67.0,355.0,147.0,257.0,714.0,31.0,871.0,713.0,985.0,149.0,307.0,146.0,1.0
0,30.0,27.0,148.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,154.0,258.0,444.0,1.0
0,35.0,24.0,148.5,1.89,70.0,1.669e+03,580.0,741.0,2.548e+03,421.0,27.0,41.0,756.0,26.0,15.0,111.94,1.0
0,38.0,23.0,148.5,1.86,68.0,105.0,2.152e+03,830.0,72.0,2.08e+03,122.0,125.0,1.635e+03,0.0,13.0,111.94,1.0
0,37.0,29.0,148.5,1.88,73.0,1.937e+03,1.108e+03,163.0,1.922e+03,526.0,670.0,1.558e+03,962.0,218.0,126.0,85.0,1.0
0,36.0,36.0,148.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,234.0,61.0,1.135e+03,1.0
0,39.0,21.0,148.5,1.88,67.0,801.0,468.0,44.0,604.0,142.0,785.0,1.003e+03,985.0,102.25,107.7,111.94,1.0
0,42.0,29.0,148.5,1.7,57.0,183.0,119.0,21.0,931.0,20.0,1.702e+03,861.0,985.0,367.0,70.0,71.0,1.0
